GENE_ID,Score
RAB13,0.23730646084610002
CNPY2,0.2344564748074393
ZNF208,0.23212615612569398
NUBP1,0.2281427461895531
EIF4E2,0.2276873443902788
APRT,0.22429513350250507
SFN,0.2239030163877911
RPL22,0.2230081672247859
EPRS,0.22182726448822318
NAV2,0.22181358518848615
TRMT1,0.22046659778135452
IDH3B,0.22028854804744255
ZNF207,0.21909302588457574
NUCKS1,0.2168415633018817
B3GNTL1,0.21678766249924103
DHX34,0.216378213255762
ALDH7A1,0.21383896978467248
PSMD6,0.21038828421087225
SLC19A1,0.20930537829247614
RPL14,0.2091123730399268
